ID,a_num_id,b_num_id
1,177,600
2,169,897
3,178,179
4,179,178
5,169,196
6,178,1149
7,178,1150
8,177,182
9,177,180
10,180,177
11,181,230
12,182,177
13,183,184
14,184,183
15,185,178
16,186,177
17,187,195
18,188,202
19,178,1137
20,177,705
21,189,177
22,190,3
23,191,169
24,192,178
25,193,195
26,194,177
27,195,1151
28,177,223
29,188,396
30,196,169
31,197,4
32,177,205
33,198,177
34,183,917
35,199,177
36,169,454
37,200,195
38,177,186
39,201,169
40,177,207
41,177,419
42,177,421
43,177,199
44,177,198
45,202,188
46,203,188
47,204,195
48,205,177
49,206,183
50,177,447
51,183,784
52,207,177
53,183,1152
54,177,210
55,208,177
56,188,576
57,209,177
58,210,177
59,177,209
60,211,178
61,177,1153
62,183,232
63,212,195
64,213,195
65,177,214
66,214,177
67,177,1154
68,215,195
69,216,188
70,217,178
71,218,195
72,188,216
73,219,169
74,188,913
75,188,930
76,220,195
77,221,183
78,183,911
79,222,178
80,223,177
81,224,177
82,195,213
83,188,918
84,183,381
85,183,225
86,177,320
87,225,183
88,226,188
89,177,1155
90,183,177
91,227,169
92,169,263
93,228,4
94,229,177
95,230,1156
96,231,177
97,232,183
98,233,177
99,234,183
100,177,306
101,178,185
102,230,917
103,230,562
104,183,1157
105,188,226
106,235,230
107,4,395
108,4,1158
109,188,1159
110,177,609
111,230,181
112,178,367
113,236,195
114,195,1160
115,237,183
116,169,1161
117,169,1162
118,188,921
119,238,177
120,239,177
121,240,169
122,177,884
123,241,177
124,169,219
125,242,195
126,243,4
127,244,195
128,245,195
129,246,195
130,188,248
131,247,195
132,183,1163
133,248,188
134,249,195
135,177,1164
136,177,885
137,177,1165
138,250,177
139,251,169
140,252,195
141,177,233
142,177,369
143,177,436
144,177,1166
145,253,177
146,254,195
147,255,177
148,256,183
149,177,313
150,257,195
151,258,177
152,4,11
153,259,169
154,260,3
155,183,526
156,178,287
157,261,177
158,188,1167
159,169,1168
160,262,230
161,230,341
162,263,169
163,177,551
